หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,บริษัท คลังกระดาษไทย จำกัด,,,11 .,ซอยชีอุยชุมอุทิศ,,หาดใหญ่,สงขลา,,,,,,
,บริษัท ท็อปมัลติพริ้นทส์ จำกัด,,,30/8 ม.1,,,เมือง,สมุทรสาคร,,,,,,
,โกดังเพชรเกษม 81,,,265 หมู่ที่ 10,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,โรงงานโอจิเลเบล (ไทยแลนด์),,,309 หมู่ที่ 10,,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,โรงพิมพ์ทวีวัฒน์การพิมพ์,,,"19,21 .",ซอยอ่อนนุช 35,,เขตสวนหลวง,กรุงเทพมหานคร,,,,,,
,โกดัง อุตสาหกรรมกระดาษต่อเนี่อง,,,159,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท ไทย โตโย อลูมิเนี่ยม,,,143/1 หมู่ที่ 3,,,ดอนตูม,นครปฐม,,,,,,
,บริษัท พราว เพรส (2002) จำกัด,,,56 .,ซอยลาซาล 11,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,บริษัท อิทธิบาทเปเปอร์ 2545 จำกัด,,,3,ซอยชลบุรี-บ้านบึง 1,,บ้านบึง,ชลบุรี,,,,,,
,บริษัท กราเววร์ เอเชีย จำกัด,,,88/8 หมู่ที่ 2,,,สามพราน,นครปฐม,,,,,,
,บริษัท ท็อป ฟอร์มส คอมพิวเตอร์,,,30,ซอยเทียนทะเล 30,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท โซโนโค (ประเทศไทย) จำกัด,,,68/13 หมู่ 5,,,บ้านบึง,ชลบุรี,,,,,,
,แจนเซนด์ ตัดกระดาษ,,,126-130.,ซอยสว่าง 8,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,บริษัท ศรีชัยธง จำกัด,,,1/17 หมู่ที่ 5,,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,โรงงานเอส.อาร์.ที.พริ้นติ้ง,,,3761/166-167,,,เขตบางคอแหลม,กรุงเทพมหานคร,,,,,,
,บริษัท แอล พี นครธน จำกัด,,,168 .,ซอยสิรินธร 7,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด จตุบูรพา,,,25/23 หมู่ที่ 6,,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท คอมพิวเตอร์เวิลด์กรุ๊ป จำกัด,,,55/77 .,ซอยแบริ่ง 10,,อำเภอเมือง,สมุทรปราการ,,,,,,
,บริษัท เอส.อาร์.พริ้นติ้ง,,,2/103-106 หมู่ที่ 9,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท ช๊อป ฟอยล์ จำกัด,,,30/2 หมู่ที่ 8,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,โรงงานชลบุรี สมบูรณ์วิสาหกิจ,,,124 หมู่ที่ 5,,,เมือง,ชลบุรี,,,,,,
,โรงพิมพ์รุ่งศิลป์ (สาย 5),,,,,,,นครปฐม,,,,,,
,บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์,,,30/28 หมู่ที่ 2,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท พิมพ์พิจิตร จำกัด,,,88/88 หมู่ที่ 2,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,ห้างหุ้นส่วนจำกัด เอส.แอล.พี.นวนคร,,,54/80-82 หมู่ที่ 13,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ไทยฮอสพิทอล โปรดักส์ จำกัด,,,"45/2, 45/3 หมู่ที่ 2",,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท ตะวันออกการพิมพ์,,,"51/29,51/61.",ซอยวิภาวดีรังสิต 66,,อำเภอหลักสี่,กรุงเทพมหานคร,,,,,,
,บริษัท สำนักพิมพ์สุภา จำกัด,,,1.1812E+14,,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,บริษัท หวังวัฒนาการพิมพ์ จำกัด,,,204/1.,ซอยพัฒนาการ 1,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท ทรีโอกราฟฟิคส์แอนด์พริ้นท์,,,999 หมู่ที่ 2,,,อำเภอเมือง,สมุทรปราการ,,,,,,
,บริษัท โรงงานลักกี้สตาร์การทอ,,,"33/8,33/11 หมู่ที่ 4",,,สามพราน,นครปฐม,,,,,,
,ห้างหุ้นส่วนจำกัด S.C.T. เปเปอร์,,,728/14.,ซอยประชาอุทิศ 75,,เขตทุ่งครุ,กรุงเทพมหานคร,,,,,,
,บริษัท เอส.เอ็ม.อี.พริ้นติ้ง,,,36/3  หมู่ที่ 3,ซอยสุขสวัสดิ์ 70,,อำเภอพระประแดง,สมุทรปราการ,,,,,,
,บริษัท ไทยอิมเมนซ์ จำกัด,,,10/1-35/1,ซอยบางกระดี่,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท พี กรุ๊ป ไทย อินเตอร์ เทรด,,,1016,,,เขตสวนหลวง,กรุงเทพมหานคร,,,,,,
,บริษัท เอ็ม.ซี.ดี. การพิมพ์,,,111 หมู่ที่ 4 นิคมอุตสาหกรรมบางปู,,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท พรพิชชา พับลิชชิ่ง จำกัด,,,"31,33",,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท บี.เค. อินเตอร์ปริ้นท์,,,2/1 หมู่ที่ 8 ,ซอยวัดพระเงิน,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,โรงงานโอจิ เปเปอร์ (ไทยแลนด์),,,309 หมู่ที่ 10,,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,บริษัท เอสพริ้นท์ (2004) จำกัด,,,48/1 หมู่ที่ 11,,,ควนเนียง,สงขลา,,,,,,
,บริษัท สยามกระดาษกาว จำกัด,,,"25/2, 25/4-5",,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,โรงงานที.เค.เอส. นิคมฯสินสาคร,,,30/88 นิคมอุตสาหกรรมสินสาคร,,,,สมุทรสาคร,,,,,,
,บริษัท เอส.พี. โพรเกรสสีพ กรุ๊ป,,,43313,,,นิคมพัฒนา,ระยอง,,,,,,
,สำนักงานสลากกินแบ่งรัฐบาล,,,582/9 ,ซอยสุขุมวิท 63,,เขตวัฒนา,กรุงเทพมหานคร,,,,,,
